match_id,home_tag,away_tag,home_team,away_team,home_team_position,away_team_position,home_team_score,away_team_score,season,competition,event,date,time,referee,away_ht_team_score,home_ht_team_score,home_formation,away_formation,home_manager,away_manager,attendance,home_team_PV,away_team_PV,home_team_MV,away_team_MV
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
